Disease,Description,,,Medication,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Diet,workout,weight
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition.",,,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']", headache, chest_pain, dizziness, loss_of_balance,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","[Follow the DASH diet (Dietary Approaches to Stop Hypertension), Limit sodium intake, Include potassium-rich foods, Stay hydrated, Consume calcium-rich foods, Limit alcohol consumption, Include magnesium-rich foods, Consume omega-3 fatty acids, Limit processed foods, Consult a healthcare professional]",3
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,,,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']", acidity, indigestion, headache, blurred_and_distorted_vision,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","[Identify and avoid trigger foods, Stay hydrated, Include magnesium-rich foods, Consume omega-3 fatty acids, Limit caffeine and alcohol, Consume riboflavin-rich foods, Limit processed foods, Maintain regular meal times, Consult a healthcare professional, Manage stress]",5
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,,,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']", back_pain, weakness_in_limbs, neck_pain, dizziness,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","[Include anti-inflammatory foods, Consume omega-3 fatty acids, Include vitamin D-rich foods, Stay hydrated, Consume antioxidant-rich foods, Limit processed foods, Include lean proteins, Practice good posture, Consult a healthcare professional, Engage in regular exercise]",6
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']", vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","[Follow a balanced and nutritious diet, Include lean proteins, Consume nutrient-rich foods, Stay hydrated, Include healthy fats, Limit sugary foods and beverages, Include antioxidants, Consume foods rich in vitamin K, Consult a healthcare professional, Manage stress]",6
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.",,,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",itching, vomiting, fatigue, weight_loss,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",4
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,,,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']", chills, vomiting, high_fever, sweating,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume foods rich in antioxidants, Limit fatty and greasy foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",3
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,,,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",itching, skin_rash, fatigue, lethargy,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Stay hydrated, Include easily digestible foods, Include vitamin C-rich foods, Consume protein-rich foods, Include zinc-rich foods, Avoid spicy and acidic foods, Consult a healthcare professional, Practice good hygiene, Rest and conserve energy, Gradually resume normal diet]",4
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,,,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']", skin_rash, chills, joint_pain, vomiting,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","[Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Limit fatty and greasy foods, Avoid caffeine and alcohol, Include soft and easily digestible foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]",5
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,,,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']", chills, vomiting, fatigue, high_fever,"['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Consume easily digestible foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include protein-rich foods, Avoid fatty and greasy foods, Consult a healthcare professional, Gradually resume normal diet, Follow medical recommendations, Avoid alcohol and caffeine]",3
hepatitis A,hepatitis A is a viral liver disease.,,,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']", joint_pain, vomiting, yellowish_skin, dark_urine,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",3
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.,,,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",itching, fatigue, lethargy, yellowish_skin,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",5
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.,,,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']", fatigue, yellowish_skin, nausea, loss_of_appetite,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",2
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.,,,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']", vomiting, fatigue, yellowish_skin, dark_urine,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",6
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.,,,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']", joint_pain, vomiting, fatigue, high_fever,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",5
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,,,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']", vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","[Avoid alcohol consumption, Follow a balanced and nutritious diet, Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Limit fatty foods, Include antioxidants, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]",4
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.,,,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']", chills, vomiting, fatigue, weight_loss,"['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Consume a high-protein diet, Include nutrient-rich foods, Stay hydrated, Consume foods rich in vitamins A and C, Include zinc-rich foods, Limit sugary foods and beverages, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]",7
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,,,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']", chills, fatigue, cough, high_fever,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']","[Stay hydrated, Follow medical recommendations, Gradually resume normal diet, Rest and conserve energy, Consult a healthcare professional, Consume chicken soup, Limit sugary foods and beverages, Include zinc-rich foods, Consume foods rich in vitamin C and antioxidants, Include nutrient-rich foods]",3
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,,,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']", chills, fatigue, cough, high_fever,"['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","[Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]",4
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,,,"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']", constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,"['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']","[Consume high-fiber foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in flavonoids, Limit processed foods, Avoid spicy and greasy foods, Consult a healthcare professional, Practice good hygiene, Gradually resume normal diet, Follow medical recommendations]",3
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,,,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']", vomiting, breathlessness, sweating, chest_pain,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","[Engage in regular exercise, Follow a heart-healthy diet, Limit sodium intake, Include fiber-rich foods, Consume healthy fats, Include lean proteins, Limit sugary foods and beverages, Stay hydrated, Consult a healthcare professional, Follow medical recommendations]",4
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs.",,,"['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']", fatigue, cramps, bruising, obesity,"['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']","[Engage in regular exercise, Consume a high-fiber diet, Stay hydrated, Include nutrient-rich foods, Consume foods rich in antioxidants, Limit sodium intake, Include flavonoid-rich foods, Avoid standing or sitting for long periods, Consult a healthcare professional, Follow medical recommendations]",5
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,,,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']", fatigue, weight_gain, cold_hands_and_feets, mood_swings,"['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']","[Engage in regular exercise, Include iodine-rich foods, Consume selenium-rich foods, Stay hydrated, Include nutrient-rich foods, Limit processed foods, Consume foods rich in vitamins B and D, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight]",3
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,,,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']", fatigue, mood_swings, weight_loss, restlessness,"['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']","[Engage in regular exercise, Limit iodine intake, Consume cruciferous vegetables in moderation, Stay hydrated, Include nutrient-rich foods, Limit caffeine and alcohol, Include omega-3 fatty acids, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight",3
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,,,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']", vomiting, fatigue, anxiety, sweating,"['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']","[Limit alcohol intake, Consume complex carbohydrates, Include protein-rich foods, Stay hydrated, Limit sugary foods and beverages, Consume regular meals and snacks, Consult a healthcare professional, Monitor blood sugar levels, Follow medical recommendations, Engage in regular physical activity]",4
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,,,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']", joint_pain, neck_pain, knee_pain, hip_joint_pain,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","[Maintain a healthy weight, Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise]",5
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness.",,,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']", muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","[Maintain a healthy weight, Consume anti-inflammatory foods, Include omega-3 fatty acids, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise]",4
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.,,,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']", vomiting, headache, nausea, spinning_movements,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea', 'Vitamin D-rich foods']","[Limit caffeine and stimulants, Avoid trigger foods (caffeine, alcohol), Limit sodium intake, Stay hydrated, Consume ginger and ginkgo biloba, Limit artificial sweeteners, Consult a healthcare professional, Avoid sudden head movements, Follow medical recommendations, Manage stress]",4
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,,,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']", skin_rash, pus_filled_pimples, blackheads, scurring,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']","[Follow medical recommendations, Limit sugary foods and beverages, Practice good skincare hygiene, Consult a skincare professional, Include zinc-rich foods, Limit processed foods, Stay hydrated, Include antioxidants, Limit dairy and high-glycemic foods, Consume a balanced diet]",3
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.,,,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']", burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']","[Maintain good hygiene, Limit sugary foods and beverages, Follow medical recommendations, Consult a healthcare professional, Avoid spicy and acidic foods, Consume probiotics, Limit caffeine and alcohol, Include vitamin C-rich foods, Consume cranberry products, Stay hydrated]",4
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.",,,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']", skin_rash, joint_pain, skin_peeling, silver_like_dusting,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","[Consider phototherapy under medical guidance, Manage stress, Follow medical recommendations, Limit processed foods, Consult a healthcare professional, Stay hydrated, Limit alcohol consumption, Include vitamin D analogues, Include omega-3 fatty acids, Consume anti-inflammatory foods]",4
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.,,,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']", skin_rash, high_fever, blister, red_sore_around_nose,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']","[Practice wound care, Take prescribed antibiotics, Avoid scratching, Follow medical recommendations, Consult a healthcare professional, Include foods rich in vitamin C, Limit sugary foods and beverages, Consume nutrient-rich foods, Stay hydrated, Maintain good hygiene]",6
