,Unnamed: 0,disease,workout
130,130,Paralysis (brain hemorrhage),"[Follow a balanced and nutritious diet, Include lean proteins, Consume nutrient-rich foods, Stay hydrated, Include healthy fats, Limit sugary foods and beverages, Include antioxidants, Consume foods rich in vitamin K, Consult a healthcare professional, Manage stress]"
140,140,Jaundice,"[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
150,150,Malaria,"[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume foods rich in antioxidants, Limit fatty and greasy foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
160,160,Chicken pox,"[Stay hydrated, Include easily digestible foods, Include vitamin C-rich foods, Consume protein-rich foods, Include zinc-rich foods, Avoid spicy and acidic foods, Consult a healthcare professional, Practice good hygiene, Rest and conserve energy, Gradually resume normal diet]"
170,170,Dengue,"[Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Limit fatty and greasy foods, Avoid caffeine and alcohol, Include soft and easily digestible foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]"
180,180,Typhoid,"[Consume easily digestible foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include protein-rich foods, Avoid fatty and greasy foods, Consult a healthcare professional, Gradually resume normal diet, Follow medical recommendations, Avoid alcohol and caffeine]"
190,190,hepatitis A,"[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
200,200,Hepatitis B,"[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
210,210,Hepatitis C,"[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
220,220,Hepatitis D,"[Follow a balanced and nutritious diet, Stay hydrated, Include protein-rich foods, Consume nutrient-rich foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
230,230,Hepatitis E,"[Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Consume easily digestible foods, Limit fatty foods, Avoid alcohol and caffeine, Include vitamin C-rich foods, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
240,240,Alcoholic hepatitis,"[Avoid alcohol consumption, Follow a balanced and nutritious diet, Stay hydrated, Consume nutrient-rich foods, Include protein-rich foods, Limit fatty foods, Include antioxidants, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet]"
250,250,Tuberculosis,"[Consume a high-protein diet, Include nutrient-rich foods, Stay hydrated, Consume foods rich in vitamins A and C, Include zinc-rich foods, Limit sugary foods and beverages, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]"
260,260,Common Cold,"[Stay hydrated, Follow medical recommendations, Gradually resume normal diet, Rest and conserve energy, Consult a healthcare professional, Consume chicken soup, Limit sugary foods and beverages, Include zinc-rich foods, Consume foods rich in vitamin C and antioxidants, Include nutrient-rich foods]"
270,270,Pneumonia,"[Stay hydrated, Include nutrient-rich foods, Consume foods rich in vitamin C and antioxidants, Include zinc-rich foods, Limit sugary foods and beverages, Consume chicken soup, Consult a healthcare professional, Rest and conserve energy, Gradually resume normal diet, Follow medical recommendations]"
280,280,Dimorphic hemmorhoids(piles),"[Consume high-fiber foods, Stay hydrated, Include nutrient-rich foods, Consume foods rich in flavonoids, Limit processed foods, Avoid spicy and greasy foods, Consult a healthcare professional, Practice good hygiene, Gradually resume normal diet, Follow medical recommendations]"
299,299,Heart attack,"[Engage in regular exercise, Follow a heart-healthy diet, Limit sodium intake, Include fiber-rich foods, Consume healthy fats, Include lean proteins, Limit sugary foods and beverages, Stay hydrated, Consult a healthcare professional, Follow medical recommendations]"
309,309,Varicose veins,"[Engage in regular exercise, Consume a high-fiber diet, Stay hydrated, Include nutrient-rich foods, Consume foods rich in antioxidants, Limit sodium intake, Include flavonoid-rich foods, Avoid standing or sitting for long periods, Consult a healthcare professional, Follow medical recommendations]"
319,319,Hypothyroidism,"[Engage in regular exercise, Include iodine-rich foods, Consume selenium-rich foods, Stay hydrated, Include nutrient-rich foods, Limit processed foods, Consume foods rich in vitamins B and D, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight]"
329,329,Hyperthyroidism,"[Engage in regular exercise, Limit iodine intake, Consume cruciferous vegetables in moderation, Stay hydrated, Include nutrient-rich foods, Limit caffeine and alcohol, Include omega-3 fatty acids, Consult a healthcare professional, Follow medical recommendations, Maintain a stable weight"
339,339,Hypoglycemia,"[Limit alcohol intake, Consume complex carbohydrates, Include protein-rich foods, Stay hydrated, Limit sugary foods and beverages, Consume regular meals and snacks, Consult a healthcare professional, Monitor blood sugar levels, Follow medical recommendations, Engage in regular physical activity]"
349,349,Osteoarthristis,"[Maintain a healthy weight, Consume anti-inflammatory foods, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise]"
359,359,Arthritis,"[Maintain a healthy weight, Consume anti-inflammatory foods, Include omega-3 fatty acids, Include omega-3 fatty acids, Consume antioxidant-rich foods, Stay hydrated, Limit processed foods, Include vitamin K-rich foods, Consult a healthcare professional, Follow medical recommendations, Engage in low-impact exercise]"
369,369,(vertigo) Paroymsal  Positional Vertigo,"[Limit caffeine and stimulants, Avoid trigger foods (caffeine, alcohol), Limit sodium intake, Stay hydrated, Consume ginger and ginkgo biloba, Limit artificial sweeteners, Consult a healthcare professional, Avoid sudden head movements, Follow medical recommendations, Manage stress]"
379,379,Acne,"[Follow medical recommendations, Limit sugary foods and beverages, Practice good skincare hygiene, Consult a skincare professional, Include zinc-rich foods, Limit processed foods, Stay hydrated, Include antioxidants, Limit dairy and high-glycemic foods, Consume a balanced diet]"
388,388,Urinary tract infection,"[Maintain good hygiene, Limit sugary foods and beverages, Follow medical recommendations, Consult a healthcare professional, Avoid spicy and acidic foods, Consume probiotics, Limit caffeine and alcohol, Include vitamin C-rich foods, Consume cranberry products, Stay hydrated]"
399,399,Psoriasis,"[Consider phototherapy under medical guidance, Manage stress, Follow medical recommendations, Limit processed foods, Consult a healthcare professional, Stay hydrated, Limit alcohol consumption, Include vitamin D analogues, Include omega-3 fatty acids, Consume anti-inflammatory foods]"
409,409,Impetigo,"[Practice wound care, Take prescribed antibiotics, Avoid scratching, Follow medical recommendations, Consult a healthcare professional, Include foods rich in vitamin C, Limit sugary foods and beverages, Consume nutrient-rich foods, Stay hydrated, Maintain good hygiene]"
